battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,Price_Range
708,0,2.5,1,0,0,55,0.6,183,2,1,417,946,2986,7,1,6,0,1,1,INR 10K - 15K
835,0,0.5,0,0,0,63,0.1,93,5,0,1177,1462,2394,17,9,7,0,0,0,INR 10K - 15K
1450,1,2.7,1,0,1,63,1,195,8,7,78,654,2169,6,5,7,1,1,1,INR 5K - 10K
973,0,1.1,1,2,0,7,0.2,101,4,7,323,1604,1181,13,5,15,1,1,1,Less Than INR 5K
601,1,2.7,1,9,0,19,0.6,131,1,17,707,1882,575,15,9,12,0,0,0,Less Than INR 5K
507,1,1.5,0,5,1,57,0.2,190,7,16,457,1816,2977,6,4,2,1,0,0,INR 10K - 15K
564,1,1.4,0,4,1,4,0.1,154,4,13,356,765,532,12,8,10,1,1,1,Less Than INR 5K
1559,1,0.5,1,1,0,32,0.5,141,7,11,936,1398,1702,17,0,5,1,1,1,INR 5K - 10K
754,0,1.8,1,0,1,51,0.5,168,3,1,912,1980,1074,14,8,15,1,1,0,Less Than INR 5K
728,1,1.6,1,6,1,6,0.5,162,6,17,179,1559,3352,9,1,3,1,1,1,Above 15K
1431,0,0.5,1,7,1,59,0.7,178,7,10,1914,1928,1027,6,3,5,1,0,0,INR 5K - 10K
767,0,2.7,1,0,0,25,0.2,88,4,1,526,1529,2039,5,1,12,1,1,1,INR 5K - 10K
1722,1,0.5,0,0,1,56,0.6,191,1,1,156,952,461,7,3,8,1,0,0,Less Than INR 5K
1992,0,1.5,0,4,0,28,0.7,175,4,10,344,1517,527,10,0,15,0,1,0,Less Than INR 5K
1876,0,2.6,0,8,0,18,0.8,177,2,16,865,1741,3271,14,0,15,1,0,1,Above 15K
1054,1,1.6,0,5,1,57,1,100,2,15,1552,1596,606,9,3,4,1,1,1,INR 5K - 10K
1283,0,0.5,0,10,1,40,0.3,86,6,14,546,1564,2513,10,8,16,1,1,0,Above 15K
1281,0,1.1,1,10,1,38,0.4,136,6,12,1097,1222,1675,18,4,14,1,1,1,INR 5K - 10K
1066,1,1.6,1,4,0,47,0.9,93,5,5,372,692,2698,9,6,17,1,1,0,INR 10K - 15K
1053,1,2.3,1,0,0,28,0.3,148,1,6,1285,1617,1129,12,1,6,0,1,0,INR 5K - 10K
1611,0,0.6,0,2,1,7,0.9,114,7,18,1242,1571,468,19,13,6,1,1,0,Less Than INR 5K
793,0,2.1,1,0,1,4,0.1,89,8,2,302,1247,1210,19,15,4,1,1,1,Less Than INR 5K
1220,1,0.8,1,7,1,45,0.3,103,1,12,594,1767,3086,17,6,5,1,1,1,Above 15K
1662,1,0.5,1,11,0,3,0.6,98,3,14,303,714,1595,8,4,9,1,0,1,INR 5K - 10K
1281,0,1,1,5,1,30,0.9,133,2,15,1858,1935,2332,17,13,14,1,1,1,INR 10K - 15K
538,0,2.9,0,3,0,62,0.5,125,4,8,403,1933,2589,19,11,15,1,1,1,INR 10K - 15K
823,0,0.5,0,0,1,61,0.8,126,4,13,32,1509,3760,9,5,13,1,1,1,Above 15K
1733,1,2.8,1,3,1,8,0.3,144,4,19,590,954,1851,8,2,9,1,1,0,INR 5K - 10K
1429,0,0.8,0,12,1,2,0.8,177,7,13,235,662,417,8,4,9,1,0,1,Less Than INR 5K
1839,1,0.5,0,0,0,39,0.4,187,8,4,630,888,294,13,9,11,0,0,1,Less Than INR 5K
659,1,2.8,0,3,1,36,1,119,6,20,357,527,3576,17,16,9,1,0,0,Above 15K
1953,0,1.5,1,0,1,40,0.9,100,3,14,246,820,3945,11,7,18,1,0,1,Above 15K
1172,1,1.2,0,9,1,54,0.5,200,7,11,475,1493,927,19,10,18,1,0,1,INR 5K - 10K
612,0,2.7,0,6,1,6,0.5,110,3,7,1054,1929,2044,15,5,2,1,0,1,INR 5K - 10K
1563,1,2.1,1,7,0,56,0.1,158,8,9,555,764,2334,11,5,4,1,0,0,INR 10K - 15K
1191,0,1.9,0,0,1,27,0.7,164,1,3,607,1092,1477,12,0,6,1,0,0,INR 5K - 10K
615,1,1.9,1,6,0,16,0.3,102,7,7,1360,1891,3161,8,4,3,0,0,0,Above 15K
1893,0,2.4,0,0,1,24,0.2,170,8,0,142,1699,3660,7,5,5,1,1,0,Above 15K
1563,0,1.3,1,16,1,26,0.8,84,1,20,681,683,1604,14,3,9,1,0,1,INR 5K - 10K
1995,1,0.5,1,0,0,42,0.6,163,6,4,104,1664,2211,7,4,18,0,0,1,INR 5K - 10K
1517,1,2.1,1,8,0,63,0.2,134,2,11,637,763,3822,14,3,18,0,1,1,Above 15K
832,0,1.7,1,10,0,16,0.1,151,7,13,410,572,3922,11,1,8,0,0,1,Above 15K
1162,1,1.9,0,6,0,9,0.8,139,6,18,1830,1963,1203,14,12,18,1,1,1,INR 10K - 15K
1595,0,0.5,0,6,1,48,0.6,143,5,14,802,1489,2822,15,5,11,1,1,1,Above 15K
1329,0,1.6,1,1,1,34,0.3,108,5,5,311,1294,447,15,13,12,1,1,0,Less Than INR 5K
928,0,2,0,0,1,56,0.7,114,7,1,56,997,1652,5,0,20,1,0,0,INR 5K - 10K
1656,1,2.6,0,7,0,12,0.3,121,8,19,344,655,3608,15,1,16,0,1,0,Above 15K
1937,1,1,0,1,0,52,0.9,181,6,2,1053,1458,1228,8,6,6,1,0,1,INR 5K - 10K
977,1,0.5,1,11,0,56,0.7,80,8,13,221,1243,666,19,10,5,0,1,0,Less Than INR 5K
768,1,0.5,1,8,1,38,0.1,105,7,17,506,519,1499,12,8,19,1,0,1,INR 5K - 10K
1464,1,1.7,0,17,0,58,0.6,189,1,19,1728,1767,3321,5,4,14,1,1,0,Above 15K
1177,1,1.1,1,2,0,57,0.6,181,6,7,63,566,1206,7,1,8,0,1,1,Less Than INR 5K
1348,1,0.9,0,16,1,56,0.1,113,1,20,418,515,952,19,3,16,1,0,1,Less Than INR 5K
1956,1,0.5,1,11,0,12,0.9,117,2,14,854,1168,3927,5,3,15,0,1,1,Above 15K
1751,0,0.9,0,1,1,29,0.4,191,2,8,178,882,311,18,5,19,1,0,0,Less Than INR 5K
1530,0,2,0,18,0,52,0.3,98,3,20,1869,1942,955,18,11,7,1,1,1,INR 5K - 10K
1997,0,2.2,0,0,1,37,0.5,87,3,2,185,776,1109,13,1,19,1,1,0,INR 5K - 10K
1414,0,0.5,1,6,0,8,0.6,178,6,20,170,564,2969,8,6,17,0,0,1,INR 10K - 15K
1707,0,2,0,11,0,42,0.8,177,6,13,454,1975,725,11,10,19,0,0,1,Less Than INR 5K
894,1,1.8,1,1,0,40,0.5,185,4,8,866,1212,1655,7,6,15,1,0,0,INR 10K - 15K
645,1,1.5,1,5,0,44,0.5,180,2,6,44,1118,3490,16,12,13,0,1,0,Above 15K
1163,0,1.4,0,0,0,41,0.8,80,7,2,1331,1388,1774,12,0,10,0,0,0,INR 10K - 15K
1126,0,0.5,1,1,1,50,0.5,199,3,14,1285,1462,3615,13,0,6,1,0,1,Above 15K
1648,0,1.2,0,6,1,41,0.7,184,8,17,741,1130,714,18,2,13,1,1,0,Less Than INR 5K
1170,0,2.8,1,0,0,49,0.6,155,2,0,520,754,2768,19,2,12,0,0,1,INR 10K - 15K
508,0,0.7,0,3,0,49,0.9,165,8,17,114,1726,3739,14,1,13,1,0,0,Above 15K
1097,0,0.7,0,6,1,64,0.8,170,4,9,1153,1876,610,8,1,6,1,1,0,INR 5K - 10K
728,1,0.9,0,6,1,14,0.4,199,2,13,474,709,715,18,5,20,1,0,1,Less Than INR 5K
1980,0,0.8,0,7,1,42,0.3,94,1,8,39,557,663,13,12,7,1,0,0,Less Than INR 5K
1504,0,2.1,1,6,0,64,0.2,161,3,8,419,1914,1725,14,5,9,1,0,1,INR 5K - 10K
1379,0,1.7,1,0,1,5,0.6,101,2,20,584,775,834,16,0,5,1,1,0,Less Than INR 5K
1698,0,0.5,1,2,1,29,0.8,177,1,13,312,1910,3865,12,10,18,1,0,0,Above 15K
920,0,2.3,1,1,0,64,0.9,182,1,2,19,1923,3059,6,5,10,0,1,0,Above 15K
1144,1,2.1,1,14,1,63,1,83,1,17,207,1370,651,9,6,7,1,1,0,Less Than INR 5K
1995,0,2.1,0,5,1,18,0.9,160,6,20,363,994,796,13,3,14,1,0,1,Less Than INR 5K
1430,0,2.1,1,5,0,25,0.4,115,7,14,209,1078,785,10,7,5,0,1,1,Less Than INR 5K
972,1,1.5,1,0,0,21,0.4,189,1,11,159,724,3252,16,0,8,0,0,0,INR 10K - 15K
662,1,0.5,0,6,0,26,0.2,129,1,15,649,1104,1322,15,11,7,0,1,1,INR 5K - 10K
1867,0,0.5,1,1,0,27,0.5,183,1,16,1132,1182,2832,7,1,15,0,1,1,INR 10K - 15K
1730,1,0.5,1,5,0,13,0.4,193,5,8,1392,1795,1615,11,6,13,0,1,0,INR 5K - 10K
1723,0,0.5,0,5,0,20,0.8,138,1,10,1001,1224,2125,17,15,15,0,1,1,INR 5K - 10K
1882,0,2.3,0,0,1,9,0.1,191,6,3,712,1442,990,6,1,2,1,0,1,INR 5K - 10K
803,0,2,1,0,1,20,0.1,143,4,10,418,1023,1595,14,0,12,1,1,0,INR 5K - 10K
580,1,1,0,1,1,7,0.6,126,3,17,384,1361,1213,5,0,16,1,1,1,INR 5K - 10K
668,1,1.3,1,8,0,47,0.2,140,2,13,119,652,2500,17,1,11,0,0,1,INR 10K - 15K
1391,0,0.8,1,0,0,18,0.3,106,4,1,627,935,2801,18,15,12,0,1,0,INR 10K - 15K
1560,1,1.2,1,0,0,47,0.9,91,3,1,1086,1345,3451,15,1,11,1,1,0,Above 15K
821,0,2.3,0,2,1,48,0.3,114,1,19,195,1292,1201,14,12,4,1,1,0,Less Than INR 5K
811,0,1.4,0,2,1,36,0.8,182,1,6,14,1256,3139,14,7,14,1,1,0,INR 10K - 15K
1989,0,2.3,0,0,1,22,0.8,169,7,1,745,1364,1938,15,11,16,1,1,1,INR 10K - 15K
1034,0,1.8,1,5,0,54,0.1,109,3,9,253,1786,3185,8,4,15,1,0,0,INR 10K - 15K
618,1,2.4,1,5,1,2,0.3,106,6,13,333,1429,2111,18,7,2,1,0,1,INR 5K - 10K
654,1,2.9,1,8,0,17,0.1,193,8,15,629,682,2369,7,0,18,1,1,0,INR 10K - 15K
576,1,2.7,1,6,0,37,0.7,120,7,20,707,1199,3625,17,1,12,0,1,1,Above 15K
667,0,2.1,0,2,0,6,0.3,86,1,4,1314,1688,1051,13,10,15,0,0,1,Less Than INR 5K
869,1,1.3,0,0,1,52,0.7,196,4,4,1715,1898,1036,17,4,13,1,0,0,INR 5K - 10K
635,1,2.8,0,2,1,10,0.2,184,5,7,513,1438,2938,6,0,5,1,1,1,INR 10K - 15K
609,1,0.6,0,6,1,3,0.7,185,6,13,13,1463,2855,5,0,19,1,0,1,INR 10K - 15K
1557,1,1,0,7,1,57,0.6,118,1,15,1243,1584,2727,13,3,8,1,0,0,INR 10K - 15K
1604,1,0.5,1,2,0,42,0.4,149,3,4,300,1059,2973,12,5,18,0,0,1,INR 10K - 15K
1182,1,3,0,15,1,44,0.3,117,1,16,58,1253,2581,15,11,15,1,0,1,INR 5K - 10K
848,0,2.8,1,16,0,2,0.1,123,5,20,1107,1442,2690,18,16,9,0,0,1,Above 15K
1610,1,1.7,0,2,0,33,1,191,8,5,134,939,916,13,10,12,0,1,1,Less Than INR 5K
1828,0,0.5,0,7,1,8,0.5,138,8,16,275,986,2563,19,17,19,1,0,0,INR 10K - 15K
880,1,2.1,1,10,1,19,0.8,148,7,18,176,1029,3359,10,0,14,1,0,0,INR 10K - 15K
1394,1,2.9,0,7,1,64,0.9,181,4,12,1236,1280,941,8,4,9,1,1,0,INR 5K - 10K
1960,1,2.1,1,0,0,17,0.9,199,1,1,336,898,2280,17,14,4,0,0,0,INR 10K - 15K
809,0,2,1,1,1,50,0.5,194,7,3,1116,1381,827,15,9,6,1,0,1,Less Than INR 5K
899,1,0.9,1,10,1,62,0.3,175,5,13,1010,1565,473,11,1,20,1,1,0,Less Than INR 5K
1976,1,2.3,1,1,1,61,0.3,86,7,3,205,1299,3865,10,7,11,1,0,0,Above 15K
879,0,0.8,0,10,0,21,0.9,91,7,19,1453,1726,1274,18,7,3,0,0,0,INR 5K - 10K
916,0,0.5,1,13,1,57,0.9,172,2,18,788,1331,364,11,1,7,1,1,0,Less Than INR 5K
763,1,0.7,1,4,0,32,0.8,171,2,7,1301,1922,3699,17,11,13,0,1,1,Above 15K
508,0,1.5,1,0,1,21,0.8,187,4,2,463,1038,2927,14,13,11,1,0,1,INR 10K - 15K
825,1,2.6,0,0,0,36,0.3,195,4,12,188,992,1470,13,0,14,0,1,0,Less Than INR 5K
1864,0,1.7,1,8,1,2,0.5,92,8,14,1028,1186,1050,6,4,8,1,1,0,Less Than INR 5K
1725,0,1.6,1,0,0,9,0.4,162,6,2,1419,1920,2616,18,8,10,1,1,1,INR 10K - 15K
1108,0,2.9,1,0,0,34,0.8,99,8,17,1471,1866,2915,8,2,10,1,1,0,Above 15K
1011,0,1.4,0,8,1,46,0.7,178,1,12,168,981,2686,11,7,18,1,1,1,INR 10K - 15K
1703,0,0.5,1,8,1,52,1,185,6,12,1125,1195,1243,19,18,5,1,1,1,INR 5K - 10K
1067,1,2.9,0,10,0,52,0.1,183,2,12,130,1706,3264,16,1,13,0,1,1,Above 15K
1334,0,1.1,0,4,1,36,0.2,131,7,18,481,749,2261,7,6,16,1,1,1,INR 5K - 10K
775,1,1.5,1,17,1,55,0.7,138,5,19,1411,1711,2993,5,1,20,1,1,1,Above 15K
1899,1,1.7,1,0,0,58,0.5,135,7,0,79,681,706,12,9,16,0,1,0,Less Than INR 5K
930,1,2.4,0,5,1,42,0.6,115,5,14,1187,1974,2542,10,1,8,1,0,0,Above 15K
1058,1,2.6,0,0,0,30,0.4,189,7,10,561,1510,2523,17,16,9,1,0,1,INR 10K - 15K
1187,1,0.6,0,0,0,26,0.1,151,2,0,96,814,336,13,11,4,1,0,1,Less Than INR 5K
1874,1,1.3,1,1,1,14,0.4,97,6,10,77,1025,2457,11,7,17,1,1,0,INR 5K - 10K
1482,0,1.5,0,2,0,19,0.4,166,4,14,493,1247,418,9,7,16,0,0,1,Less Than INR 5K
1809,1,2.2,0,0,1,46,0.4,145,2,9,1173,1814,3917,13,11,8,1,0,1,Above 15K
864,1,2.7,1,10,0,8,0.9,166,7,13,964,1233,1246,8,1,2,0,0,1,INR 5K - 10K
625,0,0.5,0,2,0,48,0.2,142,7,10,634,642,2971,12,8,12,1,1,1,INR 10K - 15K
1880,1,1.7,0,3,1,59,0.1,174,3,4,639,721,2324,10,6,16,1,0,1,INR 10K - 15K
1138,1,3,1,0,1,54,0.7,187,2,1,127,1670,3121,18,2,16,1,1,1,INR 10K - 15K
560,1,1.9,0,12,1,33,0.2,191,1,20,431,550,3801,10,6,2,1,0,0,INR 10K - 15K
1117,1,1.8,0,4,1,18,0.7,138,3,5,71,699,3333,17,15,7,1,0,0,Above 15K
1712,0,1.4,0,12,1,44,0.2,187,8,17,111,1138,3475,19,3,3,1,0,0,Above 15K
1836,0,0.5,0,14,0,23,1,146,8,15,356,1903,2360,17,16,18,0,1,1,INR 5K - 10K
1036,0,0.5,0,1,0,12,0.6,144,7,8,798,817,2895,7,6,16,1,1,0,INR 10K - 15K
1860,0,1.4,0,1,0,63,0.5,137,7,12,747,1126,3652,16,1,19,1,0,0,Above 15K
1375,1,1.7,1,3,0,26,0.1,134,6,16,408,1139,3097,5,0,18,0,1,0,Above 15K
1945,1,2.4,0,0,0,39,0.2,119,7,3,373,926,2101,10,7,2,0,1,0,INR 5K - 10K
1896,1,2.3,0,15,0,23,0.6,162,4,16,1362,1506,3918,9,2,8,0,1,0,Above 15K
788,1,1.1,0,3,1,9,0.9,145,7,19,475,726,3869,19,18,10,1,1,1,Above 15K
880,0,1.6,1,0,1,57,0.3,195,4,1,743,1753,732,14,1,14,1,1,0,INR 5K - 10K
1323,0,0.5,1,8,1,7,0.4,141,2,13,447,794,3684,9,7,18,1,0,0,Above 15K
1868,0,2.5,1,4,1,57,0.9,91,8,12,42,1161,3969,12,8,6,1,1,1,Above 15K
1266,1,1.7,1,0,0,33,0.7,173,2,2,30,1350,1414,12,1,7,1,1,0,Less Than INR 5K
1042,1,2.5,1,10,1,28,0.2,131,4,12,162,619,1892,10,0,15,1,1,1,INR 5K - 10K
1479,0,2,1,0,1,42,0.2,169,1,4,347,660,3131,8,3,7,1,1,1,Above 15K
1476,0,1.9,1,0,1,7,0.2,184,3,12,346,1468,2532,10,5,4,1,1,1,INR 10K - 15K
1552,0,2.7,1,16,1,50,0.8,93,7,18,727,1705,3215,18,0,20,1,1,1,Above 15K
1454,0,0.5,0,8,0,19,0.6,156,3,10,180,1476,3323,13,12,6,1,0,1,Above 15K
1007,1,1.2,1,0,1,55,0.1,171,4,5,1641,1666,1529,13,8,3,1,0,1,INR 10K - 15K
652,1,2.2,0,6,1,13,0.2,123,6,9,269,1026,2403,9,2,9,1,1,1,INR 10K - 15K
1504,1,0.5,1,1,0,34,0.7,83,4,3,250,1033,3419,7,5,5,1,1,0,Above 15K
1726,0,2,0,0,0,45,0.1,95,5,2,1186,1529,3648,9,0,16,0,0,0,Above 15K
1029,1,2.4,1,9,1,17,0.7,173,5,11,77,559,1974,12,10,12,1,0,0,Less Than INR 5K
1582,0,1.5,0,12,1,34,0.7,142,8,15,507,973,2806,7,2,7,1,0,1,INR 10K - 15K
1478,1,0.9,1,2,0,51,0.6,193,4,3,379,1223,2239,13,9,13,1,0,1,INR 10K - 15K
1178,1,1.9,1,5,1,5,0.2,171,5,8,264,956,582,15,7,4,1,1,1,Less Than INR 5K
707,0,2.8,0,2,1,44,0.5,112,6,13,1486,1797,3890,17,10,10,1,1,1,Above 15K
755,1,0.8,1,12,0,48,0.7,99,5,17,694,882,1141,5,2,6,0,0,1,INR 5K - 10K
912,1,1.3,0,0,0,49,0.6,101,5,0,579,596,2511,6,3,17,0,0,0,INR 10K - 15K
651,0,2.1,1,2,0,25,0.8,131,3,17,495,574,3838,9,2,7,1,0,1,Above 15K
1483,1,2.8,0,5,1,51,0.3,186,4,12,315,990,2734,10,1,16,1,0,1,INR 10K - 15K
914,1,2,0,1,0,54,0.3,161,8,5,329,1053,2330,19,5,20,0,1,0,INR 5K - 10K
1456,1,0.8,1,2,1,63,0.2,176,5,4,548,858,2244,14,9,19,1,1,0,INR 5K - 10K
1178,0,2.1,0,1,1,54,0.2,176,7,2,531,758,1851,15,13,2,1,1,0,INR 5K - 10K
1503,1,0.9,0,2,0,4,0.8,100,2,12,191,1495,808,11,7,5,1,1,0,Less Than INR 5K
1681,1,0.5,1,7,0,7,0.4,105,5,12,823,1104,1587,6,5,20,1,0,1,INR 5K - 10K
715,0,2.2,1,6,0,57,0.3,84,3,17,96,1352,2492,16,14,10,1,1,0,INR 10K - 15K
1876,1,0.7,0,10,1,43,0.2,166,4,14,841,1304,2122,15,1,2,1,0,0,INR 10K - 15K
1190,1,2.5,0,2,0,11,0.4,158,2,13,195,1205,1122,12,6,16,0,1,1,Less Than INR 5K
1755,0,2.3,1,4,0,48,0.1,160,4,6,21,562,3709,14,2,10,0,0,0,INR 10K - 15K
1197,0,2.8,1,3,1,56,0.4,182,3,4,235,585,3021,12,2,18,1,0,0,INR 10K - 15K
1048,1,2.2,1,9,0,47,0.3,186,6,10,1417,1441,624,9,3,19,1,1,1,Less Than INR 5K
1887,1,1.3,0,0,1,24,0.1,134,7,2,286,1075,3937,8,1,7,1,0,1,Above 15K
1772,0,1.3,0,3,1,20,0.5,149,6,7,649,1629,1797,19,5,4,1,1,1,INR 5K - 10K
1421,1,0.9,0,10,1,28,0.8,194,2,19,966,1975,1458,5,1,15,1,0,1,INR 5K - 10K
1464,1,3,1,6,1,17,0.2,126,8,7,1172,1798,3348,18,16,16,1,1,0,Above 15K
728,1,0.5,1,3,0,64,0.7,116,8,15,270,545,1834,5,2,20,0,1,1,INR 5K - 10K
954,0,2.8,0,0,1,57,0.4,165,1,2,781,1657,2775,13,8,14,1,0,1,Above 15K
685,0,0.5,1,0,1,17,0.7,153,6,8,418,1341,1277,13,6,19,1,0,0,INR 5K - 10K
1472,0,2.3,1,4,0,23,0.8,111,4,5,126,817,457,17,10,16,1,1,1,Less Than INR 5K
853,1,0.5,0,0,0,50,0.3,134,2,11,228,1058,438,17,0,2,1,0,0,Less Than INR 5K
1469,0,0.5,1,8,1,13,0.8,82,7,15,1091,1203,3210,15,7,2,1,1,1,Above 15K
1310,0,2.8,1,1,0,36,0.5,130,6,10,1452,1744,985,12,11,7,1,1,0,INR 5K - 10K
1654,1,2,0,10,1,3,0.6,200,2,16,674,740,3701,15,8,8,1,1,0,Above 15K
902,0,2.1,0,0,0,8,0.7,123,7,0,398,1133,1052,8,1,3,0,1,0,Less Than INR 5K
1448,1,2.3,1,6,0,57,0.9,135,8,9,449,889,1175,16,0,8,0,0,0,Less Than INR 5K
1631,0,1.8,0,1,0,11,0.3,146,7,2,1184,1719,1070,8,1,14,1,1,1,INR 5K - 10K
1608,1,0.7,0,3,0,3,0.3,134,7,9,675,1285,3411,12,11,15,0,0,1,Above 15K
1991,0,1.4,1,13,0,26,1,156,3,16,1792,1850,1175,12,9,6,0,1,0,INR 5K - 10K
1349,0,0.9,1,2,1,3,0.1,198,7,12,177,1905,301,13,5,13,1,0,0,Less Than INR 5K
1589,0,1.8,1,7,0,28,0.4,183,2,13,1013,1158,489,15,11,8,0,0,1,Less Than INR 5K
1844,1,2.7,0,5,1,64,0.9,145,2,13,1058,1325,1733,5,3,8,1,1,0,INR 10K - 15K
712,0,2,1,15,0,62,0.3,114,5,16,592,772,2756,11,3,4,1,0,0,INR 10K - 15K
972,0,2.5,0,5,1,51,0.8,195,1,18,810,1743,2612,8,2,16,1,0,0,INR 10K - 15K
1406,1,2.3,1,1,0,51,0.7,158,8,3,533,882,1724,5,1,14,0,1,1,INR 5K - 10K
1289,1,0.5,1,3,1,35,0.2,84,2,10,558,1208,2190,16,12,4,1,1,1,INR 5K - 10K
932,1,1.7,0,0,1,54,0.7,107,3,4,681,1050,1900,16,8,19,1,0,1,INR 5K - 10K
1747,0,0.5,1,2,1,34,0.8,98,3,5,1017,1366,3915,9,8,2,1,0,1,Above 15K
1172,0,0.9,0,10,1,25,1,178,6,12,765,899,1043,6,2,11,1,1,0,Less Than INR 5K
1128,0,1.3,0,1,0,64,0.7,154,7,2,1176,1224,3817,8,7,9,1,1,1,Above 15K
664,1,0.9,0,6,1,48,0.7,94,3,19,947,1131,2362,17,2,19,1,1,0,INR 10K - 15K
513,1,2.1,1,4,0,41,0.1,95,3,7,1314,1884,1107,7,3,5,0,0,0,INR 5K - 10K
1742,1,1.4,0,12,0,53,0.4,84,5,14,609,1370,2982,14,9,12,1,1,0,Above 15K
1512,0,1.2,1,0,0,28,0.9,106,5,5,754,1497,2042,17,15,19,1,1,0,INR 5K - 10K
1986,1,0.5,0,6,1,44,0.1,186,4,12,619,867,1343,5,1,9,1,1,0,Less Than INR 5K
965,0,2.3,1,9,1,43,0.4,170,7,12,453,681,2610,12,3,10,1,0,1,INR 10K - 15K
1067,1,1.7,0,12,0,6,0.7,162,7,17,205,884,2335,15,7,7,1,1,1,INR 10K - 15K
1583,0,0.5,1,3,1,51,0.1,165,8,20,282,1358,1614,17,12,3,1,1,1,INR 5K - 10K
1653,1,1.5,1,5,0,13,1,109,2,14,130,998,1138,9,8,10,0,1,0,Less Than INR 5K
1433,1,2.4,1,3,1,40,0.6,122,8,15,494,1989,604,16,14,11,1,0,0,Less Than INR 5K
765,1,1.6,0,5,1,42,0.8,118,3,10,275,862,3652,14,10,9,1,0,0,Above 15K
1845,0,0.5,1,2,1,37,0.9,176,4,6,447,1785,3955,19,4,18,1,1,1,Above 15K
752,0,1.6,0,7,0,4,0.7,133,8,11,281,799,258,11,9,4,1,1,1,Less Than INR 5K
1948,0,2.9,0,0,1,18,0.1,153,7,0,6,793,1066,11,1,16,1,1,0,Less Than INR 5K
1077,1,0.5,1,10,0,61,0.3,96,1,12,292,695,1731,9,5,6,0,0,0,INR 5K - 10K
932,0,0.5,1,1,0,48,0.7,87,7,13,164,728,3860,7,5,16,0,0,0,Above 15K
1968,0,2.8,1,8,0,16,0.1,100,5,10,631,1940,3630,9,7,17,0,1,0,Above 15K
1122,0,2.5,1,0,1,45,1,174,3,4,897,1304,1965,6,2,6,1,1,0,INR 5K - 10K
1588,1,0.5,0,1,1,60,0.7,104,4,2,268,1078,1459,6,1,19,1,1,0,Less Than INR 5K
601,0,0.9,0,0,0,22,0.8,115,3,7,861,1259,2323,9,8,7,0,0,1,INR 10K - 15K
1615,0,1.2,0,9,0,2,0.6,120,4,14,331,790,3291,11,2,13,1,1,1,INR 10K - 15K
1589,0,0.5,0,0,1,61,0.8,159,1,13,1064,1594,3272,18,0,17,1,1,0,Above 15K
1417,0,2.1,0,4,0,26,0.3,101,4,18,509,548,918,9,1,12,0,0,0,Less Than INR 5K
1697,0,0.5,0,14,0,15,0.1,132,4,16,622,1256,3488,16,2,3,0,0,1,Above 15K
1330,1,2.2,1,2,0,58,0.1,128,4,4,957,1911,3961,16,14,14,1,0,1,Above 15K
1476,1,2.7,0,2,1,56,0.9,114,6,4,494,1649,590,11,3,6,1,0,1,Less Than INR 5K
1579,1,0.7,0,1,1,34,0.1,95,1,3,236,1264,3701,15,9,8,1,1,0,Above 15K
1277,1,1.3,1,14,0,3,0.3,83,5,17,980,1262,463,14,6,11,0,0,1,Less Than INR 5K
1089,0,0.5,0,0,1,43,0.7,148,2,2,1789,1972,3644,15,10,6,1,0,1,Above 15K
1663,1,1.5,0,0,0,27,0.2,142,6,18,831,1484,1713,16,4,10,1,1,1,INR 5K - 10K
1949,0,3,0,0,1,41,0.3,200,4,3,902,1090,429,9,4,14,1,1,1,Less Than INR 5K
1138,1,0.9,1,12,1,2,0.7,145,5,15,636,1259,2765,13,12,10,1,0,1,INR 10K - 15K
685,1,2.5,1,13,1,27,0.3,169,4,14,831,1439,2084,7,1,18,1,0,0,INR 10K - 15K
1889,0,1.8,0,0,0,20,0.8,186,5,4,518,592,1125,17,10,9,0,0,0,INR 5K - 10K
857,0,1.1,0,5,1,48,0.6,109,3,14,233,1777,2048,6,0,18,1,1,1,INR 10K - 15K
1902,0,2.7,0,7,0,17,0.3,174,6,20,725,870,1223,8,0,18,1,0,1,Less Than INR 5K
1225,0,2.8,0,5,1,31,1,132,1,10,170,1106,3672,5,1,3,1,1,1,Above 15K
1066,1,2,1,3,0,17,0.2,195,7,9,157,948,3100,17,5,13,1,1,0,INR 10K - 15K
1554,0,2.8,1,6,0,50,0.8,124,8,9,1142,1393,343,11,8,18,0,1,0,Less Than INR 5K
1337,1,2.4,0,0,0,15,0.1,155,5,0,840,982,1970,16,8,15,1,1,0,INR 5K - 10K
1926,0,1.6,0,5,0,39,0.6,131,5,17,401,1586,2728,6,0,17,1,1,1,INR 10K - 15K
869,1,0.5,1,11,0,5,1,124,3,12,395,1579,3635,7,4,18,0,0,0,Above 15K
1278,0,0.5,0,13,0,31,0.8,186,2,20,48,644,2180,7,4,16,1,0,1,INR 5K - 10K
1773,1,1.7,1,1,1,33,0.4,172,3,2,982,1157,2488,6,1,14,1,0,0,INR 10K - 15K
1661,0,1.3,1,3,0,34,0.1,104,2,4,478,539,3864,13,3,11,1,0,0,Above 15K
1438,1,0.5,1,1,0,54,0.1,104,8,16,581,750,1155,7,1,20,0,0,1,Less Than INR 5K
1661,1,2.5,0,16,1,32,0.6,170,6,18,1215,1472,3566,17,6,13,1,0,1,Above 15K
